  Lines          Copies       Function name
       4 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<chumsky::combinator::Repeated<chumsky::recursive::Recursive<lang_frontend::tokenizer::Token,(lang_frontend::ast::Ast,core::ops::range::Range<usize>,core::option::Option<lang_frontend::inferer::Type>),chumsky::error::Simple<lang_frontend::tokenizer::Token>>>>
       4 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<chumsky::combinator::Repeated<chumsky::text::Padded<chumsky::combinator::MapWithSpan<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Repeated<chumsky::text::Padded<chumsky::combinator::Then<chumsky::primitive::Just<char,&str,chumsky::error::Simple<char>>,chumsky::primitive::TakeUntil<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>>>>>,chumsky::recovery::Recovery<chumsky::combinator::Or<chumsky::combinator::Or<chumsky::combinator::Or<chumsky::combinator::Or<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Or<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Map<chumsky::primitive::Filter<chumsky::text::int<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>,core::option::Option<char>::Some,char>,chumsky::combinator::Repeated<chumsky::primitive::Filter<chumsky::text::int<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>>>,fn((core::option::Option<char>,alloc::vec::Vec<char>)) .> alloc::vec::Vec<char>,(core::option::Option<char>,alloc::vec::Vec<char>)>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>,chumsky::combinator::Map<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>,chumsky::text::int<char,chumsky::error::Simple<char>>::{{closure}},char>>,chumsky::combinator::Map<chumsky::combinator::OrNot<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>,chumsky::combinator::Map<chumsky::combinator::Repeated<chumsky::primitive::Filter<chumsky::text::digits<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>>,fn((char,alloc::string::String)) .> alloc::vec::Vec<char>,(char,alloc::string::String)>>,fn(core::option::Option<alloc::vec::Vec<char>>) .> alloc::vec::Vec<char>,core::option::Option<alloc::vec::Vec<char>>>>,fn((alloc::string::String,alloc::vec::Vec<char>)) .> alloc::vec::Vec<char>,(alloc::string::String,alloc::vec::Vec<char>)>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>,lang_frontend::tokenizer::Token::Num,alloc::string::String>,chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>,chumsky::combinator::Repeated<chumsky::primitive::Filter<lang_frontend::tokenizer::tokenizer::{{closure}},chumsky::error::Simple<char>>>>,fn((char,alloc::vec::Vec<char>)) .> alloc::vec::Vec<char>,(char,alloc::vec::Vec<char>)>,chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>>,fn((alloc::vec::Vec<char>,char)) .> alloc::vec::Vec<char>,(alloc::vec::Vec<char>,char)>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>,lang_frontend::tokenizer::Token::Str,alloc::string::String>>,chumsky::combinator::Map<chumsky::combinator::Or<chumsky::combinator::Or<chumsky::combinator::To<chumsky::primitive::Just<char,&str,chumsky::error::Simple<char>>,&str,alloc::string::String>,chumsky::combinator::Map<chumsky::combinator::Then<chumsky::primitive::OneOf<char,&str,chumsky::error::Simple<char>>,chumsky::combinator::OrNot<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>>>,lang_frontend::tokenizer::tokenizer::{{closure}},(char,core::option::Option<char>)>>,chumsky::combinator::To<chumsky::primitive::Just<char,&str,chumsky::error::Simple<char>>,&str,alloc::string::String>>,lang_frontend::tokenizer::Token::Op,alloc::string::String>>,chumsky::combinator::Map<chumsky::primitive::OneOf<char,&str,chumsky::error::Simple<char>>,lang_frontend::tokenizer::Token::Ctrl,char>>,chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Map<chumsky::primitive::Filter<chumsky::text::ident<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>,core::option::Option<char>::Some,char>,chumsky::combinator::Repeated<chumsky::primitive::Filter<chumsky::text::ident<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>>>,fn((core::option::Option<char>,alloc::vec::Vec<char>)) .> alloc::vec::Vec<char>,(core::option::Option<char>,alloc::vec::Vec<char>)>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>,lang_frontend::tokenizer::tokenizer::{{closure}},alloc::string::String>>,chumsky::recovery::SkipThenRetryUntil<char,0_usize>>>,fn((alloc::vec::Vec<(&str,(alloc::vec::Vec<char>,char))>,lang_frontend::tokenizer::Token)) .> lang_frontend::tokenizer::Token,(alloc::vec::Vec<(&str,(alloc::vec::Vec<char>,char))>,lang_frontend::tokenizer::Token)>,chumsky::combinator::Repeated<chumsky::text::Padded<chumsky::combinator::Then<chumsky::primitive::Just<char,&str,chumsky::error::Simple<char>>,chumsky::primitive::TakeUntil<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>>>>>>,fn((lang_frontend::tokenizer::Token,alloc::vec::Vec<(&str,(alloc::vec::Vec<char>,char))>)) .> lang_frontend::tokenizer::Token,(lang_frontend::tokenizer::Token,alloc::vec::Vec<(&str,(alloc::vec::Vec<char>,char))>)>,lang_frontend::tokenizer::tokenizer::{{closure}},lang_frontend::tokenizer::Token>>>>
       4 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<chumsky::combinator::Then<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Repeated<chumsky::text::Padded<chumsky::combinator::Then<chumsky::primitive::Just<char,&str,chumsky::error::Simple<char>>,chumsky::primitive::TakeUntil<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>>>>>,chumsky::recovery::Recovery<chumsky::combinator::Or<chumsky::combinator::Or<chumsky::combinator::Or<chumsky::combinator::Or<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Or<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Map<chumsky::primitive::Filter<chumsky::text::int<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>,core::option::Option<char>::Some,char>,chumsky::combinator::Repeated<chumsky::primitive::Filter<chumsky::text::int<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>>>,fn((core::option::Option<char>,alloc::vec::Vec<char>)) .> alloc::vec::Vec<char>,(core::option::Option<char>,alloc::vec::Vec<char>)>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>,chumsky::combinator::Map<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>,chumsky::text::int<char,chumsky::error::Simple<char>>::{{closure}},char>>,chumsky::combinator::Map<chumsky::combinator::OrNot<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>,chumsky::combinator::Map<chumsky::combinator::Repeated<chumsky::primitive::Filter<chumsky::text::digits<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>>,fn((char,alloc::string::String)) .> alloc::vec::Vec<char>,(char,alloc::string::String)>>,fn(core::option::Option<alloc::vec::Vec<char>>) .> alloc::vec::Vec<char>,core::option::Option<alloc::vec::Vec<char>>>>,fn((alloc::string::String,alloc::vec::Vec<char>)) .> alloc::vec::Vec<char>,(alloc::string::String,alloc::vec::Vec<char>)>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>,lang_frontend::tokenizer::Token::Num,alloc::string::String>,chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>,chumsky::combinator::Repeated<chumsky::primitive::Filter<lang_frontend::tokenizer::tokenizer::{{closure}},chumsky::error::Simple<char>>>>,fn((char,alloc::vec::Vec<char>)) .> alloc::vec::Vec<char>,(char,alloc::vec::Vec<char>)>,chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>>,fn((alloc::vec::Vec<char>,char)) .> alloc::vec::Vec<char>,(alloc::vec::Vec<char>,char)>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>,lang_frontend::tokenizer::Token::Str,alloc::string::String>>,chumsky::combinator::Map<chumsky::combinator::Or<chumsky::combinator::Or<chumsky::combinator::To<chumsky::primitive::Just<char,&str,chumsky::error::Simple<char>>,&str,alloc::string::String>,chumsky::combinator::Map<chumsky::combinator::Then<chumsky::primitive::OneOf<char,&str,chumsky::error::Simple<char>>,chumsky::combinator::OrNot<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>>>,lang_frontend::tokenizer::tokenizer::{{closure}},(char,core::option::Option<char>)>>,chumsky::combinator::To<chumsky::primitive::Just<char,&str,chumsky::error::Simple<char>>,&str,alloc::string::String>>,lang_frontend::tokenizer::Token::Op,alloc::string::String>>,chumsky::combinator::Map<chumsky::primitive::OneOf<char,&str,chumsky::error::Simple<char>>,lang_frontend::tokenizer::Token::Ctrl,char>>,chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Map<chumsky::primitive::Filter<chumsky::text::ident<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>,core::option::Option<char>::Some,char>,chumsky::combinator::Repeated<chumsky::primitive::Filter<chumsky::text::ident<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>>>,fn((core::option::Option<char>,alloc::vec::Vec<char>)) .> alloc::vec::Vec<char>,(core::option::Option<char>,alloc::vec::Vec<char>)>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>,lang_frontend::tokenizer::tokenizer::{{closure}},alloc::string::String>>,chumsky::recovery::SkipThenRetryUntil<char,0_usize>>>,fn((alloc::vec::Vec<(&str,(alloc::vec::Vec<char>,char))>,lang_frontend::tokenizer::Token)) .> lang_frontend::tokenizer::Token,(alloc::vec::Vec<(&str,(alloc::vec::Vec<char>,char))>,lang_frontend::tokenizer::Token)>,chumsky::combinator::Repeated<chumsky::text::Padded<chumsky::combinator::Then<chumsky::primitive::Just<char,&str,chumsky::error::Simple<char>>,chumsky::primitive::TakeUntil<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>>>>>>>
       4 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<chumsky::combinator::Then<chumsky::combinator::Repeated<chumsky::recursive::Recursive<lang_frontend::tokenizer::Token,(lang_frontend::ast::Ast,core::ops::range::Range<usize>,core::option::Option<lang_frontend::inferer::Type>),chumsky::error::Simple<lang_frontend::tokenizer::Token>>>,chumsky::primitive::End<chumsky::error::Simple<lang_frontend::tokenizer::Token>>>>
       4 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<chumsky::combinator::Then<chumsky::combinator::Repeated<chumsky::text::Padded<chumsky::combinator::MapWithSpan<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Repeated<chumsky::text::Padded<chumsky::combinator::Then<chumsky::primitive::Just<char,&str,chumsky::error::Simple<char>>,chumsky::primitive::TakeUntil<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>>>>>,chumsky::recovery::Recovery<chumsky::combinator::Or<chumsky::combinator::Or<chumsky::combinator::Or<chumsky::combinator::Or<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Or<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Map<chumsky::primitive::Filter<chumsky::text::int<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>,core::option::Option<char>::Some,char>,chumsky::combinator::Repeated<chumsky::primitive::Filter<chumsky::text::int<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>>>,fn((core::option::Option<char>,alloc::vec::Vec<char>)) .> alloc::vec::Vec<char>,(core::option::Option<char>,alloc::vec::Vec<char>)>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>,chumsky::combinator::Map<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>,chumsky::text::int<char,chumsky::error::Simple<char>>::{{closure}},char>>,chumsky::combinator::Map<chumsky::combinator::OrNot<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>,chumsky::combinator::Map<chumsky::combinator::Repeated<chumsky::primitive::Filter<chumsky::text::digits<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>>,fn((char,alloc::string::String)) .> alloc::vec::Vec<char>,(char,alloc::string::String)>>,fn(core::option::Option<alloc::vec::Vec<char>>) .> alloc::vec::Vec<char>,core::option::Option<alloc::vec::Vec<char>>>>,fn((alloc::string::String,alloc::vec::Vec<char>)) .> alloc::vec::Vec<char>,(alloc::string::String,alloc::vec::Vec<char>)>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>,lang_frontend::tokenizer::Token::Num,alloc::string::String>,chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>,chumsky::combinator::Repeated<chumsky::primitive::Filter<lang_frontend::tokenizer::tokenizer::{{closure}},chumsky::error::Simple<char>>>>,fn((char,alloc::vec::Vec<char>)) .> alloc::vec::Vec<char>,(char,alloc::vec::Vec<char>)>,chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>>,fn((alloc::vec::Vec<char>,char)) .> alloc::vec::Vec<char>,(alloc::vec::Vec<char>,char)>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>,lang_frontend::tokenizer::Token::Str,alloc::string::String>>,chumsky::combinator::Map<chumsky::combinator::Or<chumsky::combinator::Or<chumsky::combinator::To<chumsky::primitive::Just<char,&str,chumsky::error::Simple<char>>,&str,alloc::string::String>,chumsky::combinator::Map<chumsky::combinator::Then<chumsky::primitive::OneOf<char,&str,chumsky::error::Simple<char>>,chumsky::combinator::OrNot<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>>>,lang_frontend::tokenizer::tokenizer::{{closure}},(char,core::option::Option<char>)>>,chumsky::combinator::To<chumsky::primitive::Just<char,&str,chumsky::error::Simple<char>>,&str,alloc::string::String>>,lang_frontend::tokenizer::Token::Op,alloc::string::String>>,chumsky::combinator::Map<chumsky::primitive::OneOf<char,&str,chumsky::error::Simple<char>>,lang_frontend::tokenizer::Token::Ctrl,char>>,chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Map<chumsky::primitive::Filter<chumsky::text::ident<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>,core::option::Option<char>::Some,char>,chumsky::combinator::Repeated<chumsky::primitive::Filter<chumsky::text::ident<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>>>,fn((core::option::Option<char>,alloc::vec::Vec<char>)) .> alloc::vec::Vec<char>,(core::option::Option<char>,alloc::vec::Vec<char>)>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>,lang_frontend::tokenizer::tokenizer::{{closure}},alloc::string::String>>,chumsky::recovery::SkipThenRetryUntil<char,0_usize>>>,fn((alloc::vec::Vec<(&str,(alloc::vec::Vec<char>,char))>,lang_frontend::tokenizer::Token)) .> lang_frontend::tokenizer::Token,(alloc::vec::Vec<(&str,(alloc::vec::Vec<char>,char))>,lang_frontend::tokenizer::Token)>,chumsky::combinator::Repeated<chumsky::text::Padded<chumsky::combinator::Then<chumsky::primitive::Just<char,&str,chumsky::error::Simple<char>>,chumsky::primitive::TakeUntil<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>>>>>>,fn((lang_frontend::tokenizer::Token,alloc::vec::Vec<(&str,(alloc::vec::Vec<char>,char))>)) .> lang_frontend::tokenizer::Token,(lang_frontend::tokenizer::Token,alloc::vec::Vec<(&str,(alloc::vec::Vec<char>,char))>)>,lang_frontend::tokenizer::tokenizer::{{closure}},lang_frontend::tokenizer::Token>>>,chumsky::recovery::Recovery<chumsky::primitive::End<chumsky::error::Simple<char>>,chumsky::recovery::SkipThenRetryUntil<char,0_usize>>>>
       4 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<chumsky::combinator::Then<chumsky::combinator::Repeated<chumsky::text::Padded<chumsky::combinator::Then<chumsky::primitive::Just<char,&str,chumsky::error::Simple<char>>,chumsky::primitive::TakeUntil<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>>>>>,chumsky::recovery::Recovery<chumsky::combinator::Or<chumsky::combinator::Or<chumsky::combinator::Or<chumsky::combinator::Or<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Or<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Map<chumsky::primitive::Filter<chumsky::text::int<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>,core::option::Option<char>::Some,char>,chumsky::combinator::Repeated<chumsky::primitive::Filter<chumsky::text::int<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>>>,fn((core::option::Option<char>,alloc::vec::Vec<char>)) .> alloc::vec::Vec<char>,(core::option::Option<char>,alloc::vec::Vec<char>)>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>,chumsky::combinator::Map<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>,chumsky::text::int<char,chumsky::error::Simple<char>>::{{closure}},char>>,chumsky::combinator::Map<chumsky::combinator::OrNot<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>,chumsky::combinator::Map<chumsky::combinator::Repeated<chumsky::primitive::Filter<chumsky::text::digits<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>>,fn((char,alloc::string::String)) .> alloc::vec::Vec<char>,(char,alloc::string::String)>>,fn(core::option::Option<alloc::vec::Vec<char>>) .> alloc::vec::Vec<char>,core::option::Option<alloc::vec::Vec<char>>>>,fn((alloc::string::String,alloc::vec::Vec<char>)) .> alloc::vec::Vec<char>,(alloc::string::String,alloc::vec::Vec<char>)>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>,lang_frontend::tokenizer::Token::Num,alloc::string::String>,chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>,chumsky::combinator::Repeated<chumsky::primitive::Filter<lang_frontend::tokenizer::tokenizer::{{closure}},chumsky::error::Simple<char>>>>,fn((char,alloc::vec::Vec<char>)) .> alloc::vec::Vec<char>,(char,alloc::vec::Vec<char>)>,chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>>,fn((alloc::vec::Vec<char>,char)) .> alloc::vec::Vec<char>,(alloc::vec::Vec<char>,char)>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>,lang_frontend::tokenizer::Token::Str,alloc::string::String>>,chumsky::combinator::Map<chumsky::combinator::Or<chumsky::combinator::Or<chumsky::combinator::To<chumsky::primitive::Just<char,&str,chumsky::error::Simple<char>>,&str,alloc::string::String>,chumsky::combinator::Map<chumsky::combinator::Then<chumsky::primitive::OneOf<char,&str,chumsky::error::Simple<char>>,chumsky::combinator::OrNot<chumsky::primitive::Just<char,char,chumsky::error::Simple<char>>>>,lang_frontend::tokenizer::tokenizer::{{closure}},(char,core::option::Option<char>)>>,chumsky::combinator::To<chumsky::primitive::Just<char,&str,chumsky::error::Simple<char>>,&str,alloc::string::String>>,lang_frontend::tokenizer::Token::Op,alloc::string::String>>,chumsky::combinator::Map<chumsky::primitive::OneOf<char,&str,chumsky::error::Simple<char>>,lang_frontend::tokenizer::Token::Ctrl,char>>,chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Map<chumsky::combinator::Then<chumsky::combinator::Map<chumsky::primitive::Filter<chumsky::text::ident<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>,core::option::Option<char>::Some,char>,chumsky::combinator::Repeated<chumsky::primitive::Filter<chumsky::text::ident<char,chumsky::error::Simple<char>>::{{closure}},chumsky::error::Simple<char>>>>,fn((core::option::Option<char>,alloc::vec::Vec<char>)) .> alloc::vec::Vec<char>,(core::option::Option<char>,alloc::vec::Vec<char>)>,fn(alloc::vec::Vec<char>) .> alloc::string::String,alloc::vec::Vec<char>>,lang_frontend::tokenizer::tokenizer::{{closure}},alloc::string::String>>,chumsky::recovery::SkipThenRetryUntil<char,0_usize>>>>
       4 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<chumsky::combinator::Then<chumsky::primitive::Just<lang_frontend::tokenizer::Token,lang_frontend::tokenizer::Token,chumsky::error::Simple<lang_frontend::tokenizer::Token>>,&chumsky::combinator::MapWithSpan<chumsky::combinator::Repeated<chumsky::recursive::Recursive<lang_frontend::tokenizer::Token,(lang_frontend::ast::Ast,core::ops::range::Range<usize>,core::option::Option<lang_frontend::inferer::Type>),chumsky::error::Simple<lang_frontend::tokenizer::Token>>>,lang_frontend::parser::expresion_parser::{{closure}}::{{closure}},alloc::vec::Vec<(lang_frontend::ast::Ast,core::ops::range::Range<usize>,core::option::Option<lang_frontend::inferer::Type>)>>>>
       4 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<chumsky::combinator::Then<chumsky::primitive::Just<lang_frontend::tokenizer::Token,lang_frontend::tokenizer::Token,chumsky::error::Simple<lang_frontend::tokenizer::Token>>,&chumsky::combinator::SeparatedBy<chumsky::recursive::Recursive<lang_frontend::tokenizer::Token,(lang_frontend::ast::Ast,core::ops::range::Range<usize>,core::option::Option<lang_frontend::inferer::Type>),chumsky::error::Simple<lang_frontend::tokenizer::Token>>,chumsky::primitive::Just<lang_frontend::tokenizer::Token,lang_frontend::tokenizer::Token,chumsky::error::Simple<lang_frontend::tokenizer::Token>>,lang_frontend::tokenizer::Token>>>
       4 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<chumsky::combinator::Then<chumsky::primitive::Just<lang_frontend::tokenizer::Token,lang_frontend::tokenizer::Token,chumsky::error::Simple<lang_frontend::tokenizer::Token>>,&chumsky::recursive::Recursive<lang_frontend::tokenizer::Token,(lang_frontend::ast::Ast,core::ops::range::Range<usize>,core::option::Option<lang_frontend::inferer::Type>),chumsky::error::Simple<lang_frontend::tokenizer::Token>>>>
       4 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<chumsky::combinator::To<chumsky::primitive::Just<char,&str,chumsky::error::Simple<char>>,&str,alloc::string::String>>
       4 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<chumsky::combinator::To<chumsky::primitive::Just<lang_frontend::tokenizer::Token,lang_frontend::tokenizer::Token,chumsky::error::Simple<lang_frontend::tokenizer::Token>>,lang_frontend::tokenizer::Token,&str>>
       4 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<chumsky::error::Located<char,chumsky::error::Simple<char>>>
       4 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<chumsky::error::Located<lang_frontend::tokenizer::Token,chumsky::error::Simple<lang_frontend::tokenizer::Token>>>
       4 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<chumsky::primitive::Just<lang_frontend::tokenizer::Token,lang_frontend::tokenizer::Token,chumsky::error::Simple<lang_frontend::tokenizer::Token>>>
